n_robots,seed,rule,pose_rmse,align_rmse,gamma,n_delivered,trust_yield,airtime_util,dt_bias
2,26,drift derived,0.3175378470739597,0.19809206440056473,0.033271064666877376,46,0.28663598364018933,0.6895675362318844,-75.47431791304349
2,26,drift adaptive,0.34156160324410373,0.1974154737680803,0.13158952271307311,37,0.5709903942200047,0.6726512280701759,-1.3408588108108221
2,26,deferral derived,0.32978853459137525,0.17581567378777763,0.004471917293935131,48,0.37373354328722463,0.6929066666666667,-51.92881333333335
2,26,deferral adaptive,0.5960299587518941,0.21680665574452945,2.0,20,0.5708708071447554,0.38020740740740766,2.073651199999989
2,29,fixed 0.003,0.2842301955422315,0.13193704749505197,0.003,48,0.38477592664582855,0.6914844444444443,-54.88498666666669
2,29,drift derived,0.36338609383845455,0.17574258485382482,0.033271064666877376,47,0.21275445749770072,0.6729600000000001,-70.01885140425534
2,29,drift adaptive,0.3121868343792197,0.1942673424858681,0.08567597480489351,38,0.3249032487093408,0.6897628070175443,-12.997797052631597
2,29,deferral derived,0.23912624486131015,0.14328561193135728,0.004471917293935131,48,0.316879626486117,0.6914844444444443,-86.2368346666667
2,29,deferral adaptive,0.48038445593680335,0.21040259921588944,2.0,20,0.39410617012870375,0.38305185185185203,1.0368255999999891
2,27,fixed 0.003,0.30075334742181414,0.1290021263980277,0.003,48,0.3383458234171537,0.6907733333333335,-42.580786666666654
2,27,drift derived,0.7346833506353582,0.2686879958715918,0.033271064666877376,47,0.21591813930374462,0.6729600000000001,-74.43415693617023
2,27,drift adaptive,0.7617555565710379,0.256971194123953,0.07357072631803288,39,0.3595642038275605,0.6706773333333338,-13.695803076923097
2,27,deferral derived,0.44117739256521227,0.17782691708878795,0.004471917293935131,48,0.28344849505661845,0.6879288888888889,-76.21117866666667
2,27,deferral adaptive,0.6879783665941941,0.21124301313684027,2.0,20,0.39177783098181335,0.38115555555555575,1.0368255999999898
2,28,fixed 0.003,0.5355131001688129,0.2648858297012691,0.003,48,0.36520840269260973,0.6985955555555554,-60.90714133333332
2,28,drift derived,0.4521586878684056,0.1876304769518002,0.033271064666877376,46,0.23101440779590837,0.6962457971014494,-78.39350817391306
2,28,drift adaptive,0.6311656388760208,0.2881167378161427,0.05417056000046312,39,0.2827882621033155,0.6766506666666672,-20.61005784615386
2,28,deferral derived,0.570232796457385,0.26120118519867835,0.004471917293935131,48,0.30441978537155506,0.6985955555555556,-85.67008266666666
2,28,deferral adaptive,1.191132941543853,0.290229980085485,0.008815486289864108,32,0.3166395765172832,0.5808056140350881,-20.59120400000002
2,31,fixed 0.003,0.4479880208161598,0.1813274515222796,0.003,48,0.3792310693527883,0.6993066666666667,24.546802666666682
2,31,drift derived,0.3169930895040843,0.2269430525188145,0.033271064666877376,47,0.28711703658430804,0.6779377777777778,-84.64858961702129
2,31,drift adaptive,0.44767909530430994,0.21713950576862875,0.053082268714987155,39,0.3438937980209619,0.6723840000000005,-14.35497025641027
2,31,deferral derived,0.38278433110493343,0.21399404674898165,0.004471917293935131,48,0.34133393901102654,0.6993066666666667,-23.257098666666668
2,31,deferral adaptive,0.4483922687336932,0.21103530791826788,0.015670759230760726,32,0.431258400667776,0.5826021052631584,-13.779812000000016
2,33,fixed 0.003,0.2665183899676116,0.12957894714055568,0.003,48,0.4108443461061557,0.6921955555555556,14.039778666666654
2,33,drift derived,0.24740769850942906,0.14715051661180495,0.033271064666877376,47,0.25429192229283465,0.6765155555555556,-91.20747302127661
2,33,drift adaptive,0.24901949017746952,0.13887137440551034,0.05437205484041436,40,0.3079176351501547,0.6894933333333337,-40.567628800000016
2,33,deferral derived,0.22209500156947626,0.12005687913796473,0.004471917293935131,48,0.3780381898587586,0.6921955555555556,-61.60570933333336
2,33,deferral adaptive,0.4431983342748616,0.1797223784641102,2.0,20,0.56631393658371,0.38400000000000023,4.665715199999989
2,30,fixed 0.003,0.6731309394432725,0.21989516727032793,0.003,48,0.4158557636935116,0.6936177777777777,-36.478322666666685
2,30,drift derived,0.6882310444633567,0.2838809783060581,0.033271064666877376,47,0.2314132661158763,0.6750933333333333,-67.02097974468087
2,30,drift adaptive,0.6835015559110362,0.27478321869946964,0.07773072805133395,37,0.4360339783707627,0.6717529824561408,0.9506456216216056
2,30,deferral derived,0.6512223889303411,0.24220900519882962,0.004471917293935131,48,0.3574110700186009,0.6936177777777777,-74.957656
2,30,deferral adaptive,0.43818438909708773,0.22935661755408976,2.0,20,0.5231235856700035,0.38115555555555575,2.592063999999991
2,32,fixed 0.003,0.32350809592190266,0.14809429468181715,0.003,48,0.3406750335042352,0.6985955555555553,1.8392960000000091
2,32,drift derived,0.39043517596529703,0.18858762386009262,0.033271064666877376,47,0.2057393335790424,0.6758044444444445,-79.75371165957448
2,32,drift adaptive,0.4803336177050161,0.21588658591279347,0.05652004555694166,37,0.35357329429596496,0.6726512280701759,-6.501092324324339
