relative_path,filename,session,policy,robot,file_type,size_bytes,sha256,validation_status
HWS-122-FIFO/logs/clock_limo01_end.txt,clock_limo01_end.txt,HWS-122-FIFO,FIFO,limo01,txt,19,532eee9e699cac9f4bd0edaf60b880ccf0ee80085fdeae2eb377efdf65c25d86,VALID
HWS-122-FIFO/logs/clock_limo01_start.txt,clock_limo01_start.txt,HWS-122-FIFO,FIFO,limo01,txt,18,35b7237d6008d4ae2c79c8ab366a0451cb59ded42422baf0fc69037490c99542,VALID
HWS-122-FIFO/logs/clock_limo02_end.txt,clock_limo02_end.txt,HWS-122-FIFO,FIFO,limo02,txt,18,0a62caf0ce54ebe601c0ab69c14f9fda9ca303a12ea646919fc681c410c197c2,VALID
HWS-122-FIFO/logs/clock_limo02_start.txt,clock_limo02_start.txt,HWS-122-FIFO,FIFO,limo02,txt,19,17a52b1c6aec78c399949727df67d5f1e994f53ec62223bf99d322bdc084b132,VALID
HWS-122-FIFO/logs/received_server.csv,received_server.csv,HWS-122-FIFO,FIFO,,csv,599,38336a957e62a2475476028e0332356a74a2b4de240d5cb7ee32615e0aab1517,VALID
HWS-122-FIFO/logs/serial_limo01.csv,serial_limo01.csv,HWS-122-FIFO,FIFO,limo01,csv,361,406aeb364c24dabad415cc1aad11fbcee846504721a5a44a4454b79aa318a2ae,VALID
HWS-122-FIFO/logs/serial_limo02.csv,serial_limo02.csv,HWS-122-FIFO,FIFO,limo02,csv,361,406aeb364c24dabad415cc1aad11fbcee846504721a5a44a4454b79aa318a2ae,VALID
HWS-122-FIFO/logs/serial_server.csv,serial_server.csv,HWS-122-FIFO,FIFO,,csv,695,5dae40fc3ca28ebf67517c0c1ec60a857a0021be7378acf70a295a0206006ff0,VALID
HWS-123-BACS/fused_HWS-123-BACS.csv,fused_HWS-123-BACS.csv,HWS-123-BACS,BACS,,csv,1326712,2733e0e822c51e8257f981fde2f0d470ba314f4ceca0df87d98a3b9feaf1df77,VALID
HWS-123-BACS/logs/candidates_limo01.csv,candidates_limo01.csv,HWS-123-BACS,BACS,limo01,csv,89015,a7b1174802fe72cc06b91749f12380d0486371bf5848e76162432ff68d4510f0,VALID
HWS-123-BACS/logs/candidates_limo02.csv,candidates_limo02.csv,HWS-123-BACS,BACS,limo02,csv,89021,4a05d7ce330fd630abc8b2236db836288e0f882ee6b413879ed52054a34e0793,VALID
HWS-123-BACS/logs/clock_limo01_end.txt,clock_limo01_end.txt,HWS-123-BACS,BACS,limo01,txt,18,18476bba04b64fbc0f7e8a0843e9ced82c068f824c31f0a9b8f45e7c6d81a1af,VALID
HWS-123-BACS/logs/clock_limo01_start.txt,clock_limo01_start.txt,HWS-123-BACS,BACS,limo01,txt,18,6a2e4d9a3afddd92809ca0ba3373689990206b4a09e49dbbdc75de60ec152c13,VALID
HWS-123-BACS/logs/clock_limo02_end.txt,clock_limo02_end.txt,HWS-123-BACS,BACS,limo02,txt,19,9589ace6cc47ba722d11159f16871da97f3e59c03c063191c6630ae1c518b842,VALID
HWS-123-BACS/logs/clock_limo02_start.txt,clock_limo02_start.txt,HWS-123-BACS,BACS,limo02,txt,19,7cb49a6fb960d5a08fea03f6e1f7bc11df69cd23b1e36bf0c02d8d5f666ba8c0,VALID
HWS-123-BACS/logs/received_server.csv,received_server.csv,HWS-123-BACS,BACS,,csv,599,38336a957e62a2475476028e0332356a74a2b4de240d5cb7ee32615e0aab1517,VALID
HWS-123-BACS/logs/serial_limo01.csv,serial_limo01.csv,HWS-123-BACS,BACS,limo01,csv,361,406aeb364c24dabad415cc1aad11fbcee846504721a5a44a4454b79aa318a2ae,VALID
HWS-123-BACS/logs/serial_limo02.csv,serial_limo02.csv,HWS-123-BACS,BACS,limo02,csv,361,406aeb364c24dabad415cc1aad11fbcee846504721a5a44a4454b79aa318a2ae,VALID
HWS-123-BACS/logs/serial_server.csv,serial_server.csv,HWS-123-BACS,BACS,,csv,695,5dae40fc3ca28ebf67517c0c1ec60a857a0021be7378acf70a295a0206006ff0,VALID
HWS-124-BACSPLUS/fused_HWS-124-BACSPLUS.csv,fused_HWS-124-BACSPLUS.csv,support,,,csv,1384490,92542a29eb2ada94bf04206899d15fec8cddbff2cc3e642bdda0f94b4058e262,VALID
HWS-124-BACSPLUS/logs/candidates_limo01.csv,candidates_limo01.csv,support,,limo01,csv,89017,5ea2c822bd2189b4a300df16fc86520eaff6f7d4131fb1214bf9ae6628f34be0,VALID
HWS-124-BACSPLUS/logs/candidates_limo02.csv,candidates_limo02.csv,support,,limo02,csv,89018,cb9073e6965acbc0317cda8d5597035d8f163309b58c10309cfe5113f75c3b49,VALID
HWS-124-BACSPLUS/logs/clock_limo01_end.txt,clock_limo01_end.txt,support,,limo01,txt,18,0b7f1df910d40a99ab27bfbae893d1a627c549fbc81b15b5201ed40f5d91e8b9,VALID
HWS-124-BACSPLUS/logs/clock_limo01_start.txt,clock_limo01_start.txt,support,,limo01,txt,19,36685612c66af2bbc364171df106d145966c42c8f1861a71e999a41236163729,VALID
HWS-124-BACSPLUS/logs/clock_limo02_end.txt,clock_limo02_end.txt,support,,limo02,txt,19,b53f9d5536a7883c9e6a3f4eb725ffa900c3b33737e6dfecf3dcff00d8e3e181,VALID
HWS-124-BACSPLUS/logs/clock_limo02_start.txt,clock_limo02_start.txt,support,,limo02,txt,19,18b36543bea99ec3039337b9651e7a93e35317900a4997ecf6586409962c4dbb,VALID
HWS-124-BACSPLUS/logs/received_server.csv,received_server.csv,support,,,csv,599,38336a957e62a2475476028e0332356a74a2b4de240d5cb7ee32615e0aab1517,VALID
HWS-124-BACSPLUS/logs/serial_limo01.csv,serial_limo01.csv,support,,limo01,csv,361,406aeb364c24dabad415cc1aad11fbcee846504721a5a44a4454b79aa318a2ae,VALID
HWS-124-BACSPLUS/logs/serial_limo02.csv,serial_limo02.csv,support,,limo02,csv,361,406aeb364c24dabad415cc1aad11fbcee846504721a5a44a4454b79aa318a2ae,VALID
HWS-124-BACSPLUS/logs/serial_server.csv,serial_server.csv,support,,,csv,695,5dae40fc3ca28ebf67517c0c1ec60a857a0021be7378acf70a295a0206006ff0,VALID
HWS-125-FIFO/fused_HWS-125-FIFO.csv,fused_HWS-125-FIFO.csv,HWS-125-FIFO,FIFO,,csv,1324189,9b27599920215e9db3291798c7cd4f8da505038a5ffac01387e0edd118858d59,VALID
HWS-125-FIFO/logs/candidates_limo01.csv,candidates_limo01.csv,HWS-125-FIFO,FIFO,limo01,csv,89009,a2bcccb78ad557de548fa5b1c12ca4a7ca45b06aed5bde8f825cb631b60d365b,VALID
HWS-125-FIFO/logs/candidates_limo02.csv,candidates_limo02.csv,HWS-125-FIFO,FIFO,limo02,csv,89017,1e551fc3a536211f1cb0f1f73458716eec635639f2ac17fbe3d4a69c8d765543,VALID
HWS-125-FIFO/logs/clock_limo01_end.txt,clock_limo01_end.txt,HWS-125-FIFO,FIFO,limo01,txt,19,c1100dd266af0a1cb1a47913978c596c6d44ab9b6ea84eb3777ba43891a8789e,VALID
HWS-125-FIFO/logs/clock_limo01_start.txt,clock_limo01_start.txt,HWS-125-FIFO,FIFO,limo01,txt,19,2440a91723d97d6a860953ab408e67966df7341b9cd08795170985004e447241,VALID
HWS-125-FIFO/logs/clock_limo02_end.txt,clock_limo02_end.txt,HWS-125-FIFO,FIFO,limo02,txt,18,651385d45026ceace0359cce169a3650ed94ab752ed60b5b79cf903b43a4fc3e,VALID
HWS-125-FIFO/logs/clock_limo02_start.txt,clock_limo02_start.txt,HWS-125-FIFO,FIFO,limo02,txt,18,6b179615fbd6076d1592263d49b03b43e58a9e621eb7a4600498128006d01642,VALID
HWS-125-FIFO/logs/received_server.csv,received_server.csv,HWS-125-FIFO,FIFO,,csv,599,38336a957e62a2475476028e0332356a74a2b4de240d5cb7ee32615e0aab1517,VALID
HWS-125-FIFO/logs/serial_limo01.csv,serial_limo01.csv,HWS-125-FIFO,FIFO,limo01,csv,361,406aeb364c24dabad415cc1aad11fbcee846504721a5a44a4454b79aa318a2ae,VALID
HWS-125-FIFO/logs/serial_limo02.csv,serial_limo02.csv,HWS-125-FIFO,FIFO,limo02,csv,361,406aeb364c24dabad415cc1aad11fbcee846504721a5a44a4454b79aa318a2ae,VALID
HWS-125-FIFO/logs/serial_server.csv,serial_server.csv,HWS-125-FIFO,FIFO,,csv,695,5dae40fc3ca28ebf67517c0c1ec60a857a0021be7378acf70a295a0206006ff0,VALID
HWS-126-BACS/fused_HWS-126-BACS.csv,fused_HWS-126-BACS.csv,HWS-126-BACS,BACS,,csv,1326871,6138b970bd9d57a7eeb715860b9a44fbb2b43868090e673d3e8a5d1818bc00fc,VALID
HWS-126-BACS/logs/candidates_limo01.csv,candidates_limo01.csv,HWS-126-BACS,BACS,limo01,csv,89010,fa485a81ce6f55f28efd8f71a0d524a55f7c9a2149b1cf4e7c41da27d729ee1a,VALID
HWS-126-BACS/logs/candidates_limo02.csv,candidates_limo02.csv,HWS-126-BACS,BACS,limo02,csv,89004,c2a63b37bd418212078fb62eff12f1ce83268d7f4bc496bb1ca9d1fb58e6726b,VALID
HWS-126-BACS/logs/clock_limo01_end.txt,clock_limo01_end.txt,HWS-126-BACS,BACS,limo01,txt,18,27b604e84c2ee6e6f641aeb89c328cc89257233533636e26b0cb09f58332c8ca,VALID
HWS-126-BACS/logs/clock_limo01_start.txt,clock_limo01_start.txt,HWS-126-BACS,BACS,limo01,txt,18,ee34ebbe9462e2ed648b52614849e7457d0e0f381245aeedef179f49b53e7cdd,VALID
HWS-126-BACS/logs/clock_limo02_end.txt,clock_limo02_end.txt,HWS-126-BACS,BACS,limo02,txt,18,a7decc5f998a9621185a6bb46aef695a8a2ce9a968ebd35cb4eadb719bc493b4,VALID
HWS-126-BACS/logs/clock_limo02_start.txt,clock_limo02_start.txt,HWS-126-BACS,BACS,limo02,txt,18,f5c1542b024d91442d105851476b9510a92e9daf5085c7742ddbf2f27fb13620,VALID
HWS-126-BACS/logs/received_server.csv,received_server.csv,HWS-126-BACS,BACS,,csv,599,38336a957e62a2475476028e0332356a74a2b4de240d5cb7ee32615e0aab1517,VALID
HWS-126-BACS/logs/serial_limo01.csv,serial_limo01.csv,HWS-126-BACS,BACS,limo01,csv,361,406aeb364c24dabad415cc1aad11fbcee846504721a5a44a4454b79aa318a2ae,VALID
HWS-126-BACS/logs/serial_limo02.csv,serial_limo02.csv,HWS-126-BACS,BACS,limo02,csv,361,406aeb364c24dabad415cc1aad11fbcee846504721a5a44a4454b79aa318a2ae,VALID
HWS-126-BACS/logs/serial_server.csv,serial_server.csv,HWS-126-BACS,BACS,,csv,695,5dae40fc3ca28ebf67517c0c1ec60a857a0021be7378acf70a295a0206006ff0,VALID
HWS-127-BACSPLUS/fused_HWS-127-BACSPLUS.csv,fused_HWS-127-BACSPLUS.csv,support,,,csv,1384636,5cdb434da2abf2891ebf298d9e40dc9db70217e7fbce4ad73f67bb16a4bd3a80,VALID
HWS-127-BACSPLUS/logs/candidates_limo01.csv,candidates_limo01.csv,support,,limo01,csv,89018,9571a349bf5cd51eb7bedd44efc6838dd1df1e89a0ddddc7ddd69cea4babeda9,VALID
HWS-127-BACSPLUS/logs/candidates_limo02.csv,candidates_limo02.csv,support,,limo02,csv,89021,69b626d16c077e41a46d97090d8a831d5330898af3509770f028ba2d8fa22b6c,VALID
HWS-127-BACSPLUS/logs/clock_limo01_end.txt,clock_limo01_end.txt,support,,limo01,txt,18,3263f3e8e74a79dd7884ce7ff54ea727fc27d74e10b4a8fbe4f72a8efbfc6487,VALID
