seed,robots,policy,temporal_decay,candidates,selected,mean_information
35,3,FIFO,True,240,5,0.6164409312670995
35,3,BACS,True,240,5,0.8820310189207708
35,3,BACS+,True,240,5,0.8861058910245866
35,4,FIFO,True,240,5,0.6164409312670995
35,4,BACS,True,240,5,0.8820310189207708
35,4,BACS+,True,240,5,0.8861058910245866
35,5,FIFO,True,240,5,0.6164409312670995
35,5,BACS,True,240,5,0.8820310189207708
35,5,BACS+,True,240,5,0.8861058910245866
36,2,FIFO,True,240,5,0.32481732768247756
36,2,BACS,True,240,5,0.870601684250718
36,2,BACS+,True,240,5,0.8738401221916308
36,3,FIFO,True,240,5,0.32481732768247756
36,3,BACS,True,240,5,0.870601684250718
36,3,BACS+,True,240,5,0.8738401221916308
36,4,FIFO,True,240,5,0.32481732768247756
36,4,BACS,True,240,5,0.870601684250718
36,4,BACS+,True,240,5,0.8738401221916308
36,5,FIFO,True,240,5,0.32481732768247756
36,5,BACS,True,240,5,0.870601684250718
36,5,BACS+,True,240,5,0.8738401221916308
37,2,FIFO,True,240,5,0.5727863536780745
37,2,BACS,True,240,5,0.9208281389422177
37,2,BACS+,True,240,5,0.913047631184243
37,3,FIFO,True,240,5,0.5727863536780745
37,3,BACS,True,240,5,0.9208281389422177
37,3,BACS+,True,240,5,0.913047631184243
37,4,FIFO,True,240,5,0.5727863536780745
37,4,BACS,True,240,5,0.9208281389422177
37,4,BACS+,True,240,5,0.913047631184243
37,5,FIFO,True,240,5,0.5727863536780745
37,5,BACS,True,240,5,0.9208281389422177
37,5,BACS+,True,240,5,0.913047631184243
38,2,FIFO,True,240,5,0.5060771182764483
38,2,BACS,True,240,5,0.9365913122163217
38,2,BACS+,True,240,5,0.9365913122163217
38,3,FIFO,True,240,5,0.5060771182764483
38,3,BACS,True,240,5,0.9365913122163217
38,3,BACS+,True,240,5,0.9365913122163217
38,4,FIFO,True,240,5,0.5060771182764483
38,4,BACS,True,240,5,0.9365913122163217
38,4,BACS+,True,240,5,0.9365913122163217
38,5,FIFO,True,240,5,0.5060771182764483
38,5,BACS,True,240,5,0.9365913122163217
38,5,BACS+,True,240,5,0.9365913122163217
39,2,FIFO,True,240,5,0.5292184256989313
39,2,BACS,True,240,5,0.8956006287956599
39,2,BACS+,True,240,5,0.8963872651457306
39,3,FIFO,True,240,5,0.5292184256989313
39,3,BACS,True,240,5,0.8956006287956599
39,3,BACS+,True,240,5,0.8963872651457306
39,4,FIFO,True,240,5,0.5292184256989313
39,4,BACS,True,240,5,0.8956006287956599
39,4,BACS+,True,240,5,0.8963872651457306
39,5,FIFO,True,240,5,0.5292184256989313
39,5,BACS,True,240,5,0.8956006287956599
39,5,BACS+,True,240,5,0.8963872651457306
10,2,BACS+,False,240,5,0.8318627903036286
11,2,BACS+,False,240,5,0.9477105504787777
12,2,BACS+,False,240,5,0.8789922925408478
13,2,BACS+,False,240,5,0.8602410146225223
